id,name,hourly_wage,hours_worked
10310,Lauren Durham,19,43
18656,Grace Sellers,17,40
61254,Shirley Rasmussen,16,30
16886,Brian Rojas,18,47
89010,Samantha Mosley,11,38
87246,Louis Guzman,14,39
20578,Denise Mcclure,15,40
12869,James Raymond,15,32
53461,Noah Collier,18,
71127,Shirley Beck,14,20
71127,Shirley Beck,14,20
92522,Christina Kelly,8,44
22447,,11,39
61654,Randy Key,16,38
16988,Diana Stewart,14,48
68619,,14,42
59949,Betty Skinner,11,48
81418,Janet Maxwell,NaN,38
27267,Madison Johnston,NaN,37
